kode_prompt,video,varian,penilai,kategori_penilai,skor_clarity,skor_structure,skor_creativity,skor_completeness
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru4,Guru_Bahasa,8.00,8.00,8.50,8.50
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru5,Guru_Bahasa,8.50,7.75,8.25,8.00
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru6,Guru_Bahasa,8.75,8.25,8.75,8.75
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru7,Guru_Bahasa,8.25,7.75,8.50,8.25
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru8,Guru_Bahasa,8.00,8.00,8.25,8.50
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,Guru9,Guru_Bahasa,8.50,7.75,8.50,8.00
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI1,Ahli_AI,9.00,8.50,8.75,9.00
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI2,Ahli_AI,8.75,8.25,8.50,8.75
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI3,Ahli_AI,9.25,8.50,8.25,9.25
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI4,Ahli_AI,8.50,8.25,8.75,8.75
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI5,Ahli_AI,9.00,8.00,8.50,8.50
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI6,Ahli_AI,8.75,8.50,8.75,9.00
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI7,Ahli_AI,9.25,8.25,8.25,9.25
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI8,Ahli_AI,8.50,8.50,8.75,8.75
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI9,Ahli_AI,9.00,8.00,8.50,8.50
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI10,Ahli_AI,8.75,8.25,8.75,9.00
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI11,Ahli_AI,9.25,8.50,8.25,9.25
L1_V2,Pengenalan Teks Deskripsi,Aplikasi,AI12,Ahli_AI,8.50,8.25,8.75,8.75
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru1,Guru_Bahasa,7.50,7.50,9.00,8.50
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru2,Guru_Bahasa,7.75,7.25,8.75,8.25
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru3,Guru_Bahasa,7.25,7.75,9.25,8.75
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru4,Guru_Bahasa,7.00,7.50,9.00,8.50
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru5,Guru_Bahasa,7.50,7.00,8.75,8.00
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru6,Guru_Bahasa,7.75,7.25,9.25,8.75
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru7,Guru_Bahasa,7.25,7.75,9.00,8.25
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru8,Guru_Bahasa,7.00,7.50,8.75,8.50
L1_V3,Pengenalan Teks Deskripsi,Visual,Guru9,Guru_Bahasa,7.50,7.00,9.00,8.00
L1_V3,Pengenalan Teks Deskripsi,Visual,AI1,Ahli_AI,8.00,7.50,9.50,9.00
L1_V3,Pengenalan Teks Deskripsi,Visual,AI2,Ahli_AI,7.75,7.75,9.25,8.75
L1_V3,Pengenalan Teks Deskripsi,Visual,AI3,Ahli_AI,8.25,7.25,9.75,9.25
L1_V3,Pengenalan Teks Deskripsi,Visual,AI4,Ahli_AI,7.50,7.75,9.25,8.75
L1_V3,Pengenalan Teks Deskripsi,Visual,AI5,Ahli_AI,8.00,7.00,9.50,8.50
L1_V3,Pengenalan Teks Deskripsi,Visual,AI6,Ahli_AI,7.75,7.50,9.25,9.00
L1_V3,Pengenalan Teks Deskripsi,Visual,AI7,Ahli_AI,8.25,7.25,9.75,9.25
L1_V3,Pengenalan Teks Deskripsi,Visual,AI8,Ahli_AI,7.50,7.50,9.25,8.75
L1_V3,Pengenalan Teks Deskripsi,Visual,AI9,Ahli_AI,8.00,7.00,9.50,8.50
L1_V3,Pengenalan Teks Deskripsi,Visual,AI10,Ahli_AI,7.75,7.75,9.25,9.00
L1_V3,Pengenalan Teks Deskripsi,Visual,AI11,Ahli_AI,8.25,7.25,9.75,9.25
L1_V3,Pengenalan Teks Deskripsi,Visual,AI12,Ahli_AI,7.50,7.50,9.25,8.75
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru1,Guru_Bahasa,8.00,7.50,8.50,8.00
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru2,Guru_Bahasa,8.25,7.25,8.75,8.25
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru3,Guru_Bahasa,7.75,7.75,8.25,7.75
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru4,Guru_Bahasa,7.50,7.50,8.50,8.00
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru5,Guru_Bahasa,8.00,7.00,8.25,7.50
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru6,Guru_Bahasa,8.25,7.25,8.75,8.25
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru7,Guru_Bahasa,7.75,7.75,8.25,7.75
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru8,Guru_Bahasa,7.50,7.50,8.50,8.00
L1_V4,Pengenalan Teks Deskripsi,Interaktif,Guru9,Guru_Bahasa,8.00,7.00,8.25,7.50
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI1,Ahli_AI,8.50,7.50,9.00,8.50
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI2,Ahli_AI,8.25,7.75,8.75,8.25
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI3,Ahli_AI,8.75,7.25,9.25,8.75
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI4,Ahli_AI,8.00,7.75,8.75,8.25
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI5,Ahli_AI,8.50,7.00,9.00,8.00
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI6,Ahli_AI,8.25,7.50,8.75,8.50
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI7,Ahli_AI,8.75,7.25,9.25,8.75
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI8,Ahli_AI,8.00,7.50,8.75,8.25
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI9,Ahli_AI,8.50,7.00,9.00,8.00
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI10,Ahli_AI,8.25,7.75,8.75,8.50
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI11,Ahli_AI,8.75,7.25,9.25,8.75
L1_V4,Pengenalan Teks Deskripsi,Interaktif,AI12,Ahli_AI,8.00,7.50,8.75,8.25
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru1,Guru_Bahasa,8.00,8.50,7.50,8.50
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru2,Guru_Bahasa,8.25,8.25,7.75,8.75
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru3,Guru_Bahasa,7.75,8.75,7.25,8.25
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru4,Guru_Bahasa,7.50,8.50,7.50,8.50
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru5,Guru_Bahasa,8.00,8.00,7.00,8.00
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru6,Guru_Bahasa,8.25,8.25,7.75,8.75
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru7,Guru_Bahasa,7.75,8.75,7.25,8.25
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru8,Guru_Bahasa,7.50,8.50,7.50,8.50
L1_V5,Pengenalan Teks Deskripsi,Analitis,Guru9,Guru_Bahasa,8.00,8.00,7.00,8.00
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI1,Ahli_AI,8.50,9.00,8.00,9.00
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI2,Ahli_AI,8.25,8.75,8.25,8.75
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI3,Ahli_AI,8.75,9.25,7.75,9.25
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI4,Ahli_AI,8.00,8.75,8.00,8.75
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI5,Ahli_AI,8.50,8.50,7.50,8.50
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI6,Ahli_AI,8.25,9.00,8.25,9.00
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI7,Ahli_AI,8.75,9.25,7.75,9.25
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI8,Ahli_AI,8.00,8.75,8.00,8.75
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI9,Ahli_AI,8.50,8.50,7.50,8.50
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI10,Ahli_AI,8.25,9.00,8.25,9.00
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI11,Ahli_AI,8.75,9.25,7.75,9.25
L1_V5,Pengenalan Teks Deskripsi,Analitis,AI12,Ahli_AI,8.00,8.75,8.00,8.75
L1_V6,Struktur Teks Deskripsi,Teori,Guru1,Guru_Bahasa,9.00,9.50,7.50,9.00
L1_V6,Struktur Teks Deskripsi,Teori,Guru2,Guru_Bahasa,9.25,9.25,7.75,9.25
L1_V6,Struktur Teks Deskripsi,Teori,Guru3,Guru_Bahasa,8.75,9.75,7.25,8.75
L1_V6,Struktur Teks Deskripsi,Teori,Guru4,Guru_Bahasa,8.50,9.50,7.50,9.00
L1_V6,Struktur Teks Deskripsi,Teori,Guru5,Guru_Bahasa,9.00,9.00,7.00,8.50
L1_V6,Struktur Teks Deskripsi,Teori,Guru6,Guru_Bahasa,9.25,9.25,7.75,9.25
L1_V6,Struktur Teks Deskripsi,Teori,Guru7,Guru_Bahasa,8.75,9.75,7.25,8.75
L1_V6,Struktur Teks Deskripsi,Teori,Guru8,Guru_Bahasa,8.50,9.50,7.50,9.00
L1_V6,Struktur Teks Deskripsi,Teori,Guru9,Guru_Bahasa,9.00,9.00,7.00,8.50
L1_V6,Struktur Teks Deskripsi,Teori,AI1,Ahli_AI,9.50,9.50,8.00,9.50
L1_V6,Struktur Teks Deskripsi,Teori,AI2,Ahli_AI,9.25,9.75,8.25,9.25
L1_V6,Struktur Teks Deskripsi,Teori,AI3,Ahli_AI,9.75,9.50,7.75,9.75
L1_V6,Struktur Teks Deskripsi,Teori,AI4,Ahli_AI,9.00,9.75,8.00,9.25
L1_V6,Struktur Teks Deskripsi,Teori,AI5,Ahli_AI,9.50,9.25,7.50,9.00
L1_V6,Struktur Teks Deskripsi,Teori,AI6,Ahli_AI,9.25,9.50,8.25,9.50
L1_V6,Struktur Teks Deskripsi,Teori,AI7,Ahli_AI,9.75,9.75,7.75,9.75
L1_V6,Struktur Teks Deskripsi,Teori,AI8,Ahli_AI,9.00,9.50,8.00,9.25
L1_V6,Struktur Teks Deskripsi,Teori,AI9,Ahli_AI,9.50,9.25,7.50,9.00
L1_V6,Struktur Teks Deskripsi,Teori,AI10,Ahli_AI,9.25,9.75,8.25,9.50
L1_V6,Struktur Teks Deskripsi,Teori,AI11,Ahli_AI,9.75,9.50,7.75,9.75
L1_V6,Struktur Teks Deskripsi,Teori,AI12,Ahli_AI,9.00,9.75,8.00,9.25
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru1,Guru_Bahasa,8.50,9.00,8.50,8.50
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru2,Guru_Bahasa,8.75,8.75,8.75,8.75
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru3,Guru_Bahasa,8.25,9.25,8.25,8.25
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru4,Guru_Bahasa,8.00,9.00,8.50,8.50
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru5,Guru_Bahasa,8.50,8.50,8.00,8.00
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru6,Guru_Bahasa,8.75,8.75,8.75,8.75
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru7,Guru_Bahasa,8.25,9.25,8.25,8.25
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru8,Guru_Bahasa,8.00,9.00,8.50,8.50
L1_V7,Struktur Teks Deskripsi,Aplikasi,Guru9,Guru_Bahasa,8.50,8.50,8.00,8.00
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI1,Ahli_AI,9.00,9.00,9.00,9.00
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI2,Ahli_AI,8.75,9.25,8.75,8.75
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI3,Ahli_AI,9.25,8.75,9.25,9.25
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI4,Ahli_AI,8.50,9.25,8.75,8.75
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI5,Ahli_AI,9.00,8.75,8.50,8.50
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI6,Ahli_AI,8.75,9.00,9.00,9.00
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI7,Ahli_AI,9.25,9.25,8.75,9.25
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI8,Ahli_AI,8.50,9.00,8.75,8.75
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI9,Ahli_AI,9.00,8.75,8.50,8.50
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI10,Ahli_AI,8.75,9.25,9.00,9.00
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI11,Ahli_AI,9.25,8.75,9.25,9.25
L1_V7,Struktur Teks Deskripsi,Aplikasi,AI12,Ahli_AI,8.50,9.25,8.75,8.75
L1_V8,Struktur Teks Deskripsi,Visual,Guru1,Guru_Bahasa,8.00,8.00,9.50,8.50
L1_V8,Struktur Teks Deskripsi,Visual,Guru2,Guru_Bahasa,8.25,7.75,9.25,8.25
L1_V8,Struktur Teks Deskripsi,Visual,Guru3,Guru_Bahasa,7.75,8.25,9.75,8.75
L1_V8,Struktur Teks Deskripsi,Visual,Guru4,Guru_Bahasa,7.50,8.00,9.50,8.50
L1_V8,Struktur Teks Deskripsi,Visual,Guru5,Guru_Bahasa,8.00,7.50,9.00,8.00
L1_V8,Struktur Teks Deskripsi,Visual,Guru6,Guru_Bahasa,8.25,7.75,9.25,8.25
L1_V8,Struktur Teks Deskripsi,Visual,Guru7,Guru_Bahasa,7.75,8.25,9.75,8.75
L1_V8,Struktur Teks Deskripsi,Visual,Guru8,Guru_Bahasa,7.50,8.00,9.50,8.50
L1_V8,Struktur Teks Deskripsi,Visual,Guru9,Guru_Bahasa,8.00,7.50,9.00,8.00
L1_V8,Struktur Teks Deskripsi,Visual,AI1,Ahli_AI,8.50,8.50,9.75,9.00
L1_V8,Struktur Teks Deskripsi,Visual,AI2,Ahli_AI,8.25,8.25,9.50,8.75
L1_V8,Struktur Teks Deskripsi,Visual,AI3,Ahli_AI,8.75,8.00,10.00,9.25
L1_V8,Struktur Teks Deskripsi,Visual,AI4,Ahli_AI,8.00,8.50,9.50,8.75
L1_V8,Struktur Teks Deskripsi,Visual,AI5,Ahli_AI,8.50,7.75,9.25,8.50
L1_V8,Struktur Teks Deskripsi,Visual,AI6,Ahli_AI,8.25,8.25,9.75,9.00
L1_V8,Struktur Teks Deskripsi,Visual,AI7,Ahli_AI,8.75,8.00,10.00,9.25
L1_V8,Struktur Teks Deskripsi,Visual,AI8,Ahli_AI,8.00,8.50,9.50,8.75
L1_V8,Struktur Teks Deskripsi,Visual,AI9,Ahli_AI,8.50,7.75,9.25,8.50
L1_V8,Struktur Teks Deskripsi,Visual,AI10,Ahli_AI,8.25,8.25,9.75,9.00
L1_V8,Struktur Teks Deskripsi,Visual,AI11,Ahli_AI,8.75,8.00,10.00,9.25
L1_V8,Struktur Teks Deskripsi,Visual,AI12,Ahli_AI,8.00,8.50,9.50,8.75
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru1,Guru_Bahasa,8.00,8.00,8.50,7.50
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru2,Guru_Bahasa,8.25,7.75,8.75,7.75
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru3,Guru_Bahasa,7.75,8.25,8.25,7.25
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru4,Guru_Bahasa,7.50,8.00,8.50,7.50
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru5,Guru_Bahasa,8.00,7.50,8.00,7.00
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru6,Guru_Bahasa,8.25,7.75,8.75,7.75
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru7,Guru_Bahasa,7.75,8.25,8.25,7.25
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru8,Guru_Bahasa,7.50,8.00,8.50,7.50
L1_V9,Struktur Teks Deskripsi,Interaktif,Guru9,Guru_Bahasa,8.00,7.50,8.00,7.00
L1_V9,Struktur Teks Deskripsi,Interaktif,AI1,Ahli_AI,8.50,8.50,9.00,8.00
L1_V9,Struktur Teks Deskripsi,Interaktif,AI2,Ahli_AI,8.25,8.25,8.75,8.25
L1_V9,Struktur Teks Deskripsi,Interaktif,AI3,Ahli_AI,8.75,8.00,9.25,8.50
L1_V9,Struktur Teks Deskripsi,Interaktif,AI4,Ahli_AI,8.00,8.50,8.75,8.25
L1_V9,Struktur Teks Deskripsi,Interaktif,AI5,Ahli_AI,8.50,7.75,8.50,7.75
L1_V9,Struktur Teks Deskripsi,Interaktif,AI6,Ahli_AI,8.25,8.25,9.00,8.00
L1_V9,Struktur Teks Deskripsi,Interaktif,AI7,Ahli_AI,8.75,8.00,9.25,8.50
L1_V9,Struktur Teks Deskripsi,Interaktif,AI8,Ahli_AI,8.00,8.50,8.75,8.25
L1_V9,Struktur Teks Deskripsi,Interaktif,AI9,Ahli_AI,8.50,7.75,8.50,7.75
L1_V9,Struktur Teks Deskripsi,Interaktif,AI10,Ahli_AI,8.25,8.25,9.00,8.00
L1_V9,Struktur Teks Deskripsi,Interaktif,AI11,Ahli_AI,8.75,8.00,9.25,8.50
L1_V9,Struktur Teks Deskripsi,Interaktif,AI12,Ahli_AI,8.00,8.50,8.75,8.25
L1_V10,Struktur Teks Deskripsi,Analitis,Guru1,Guru_Bahasa,8.50,8.50,8.00,9.50
L1_V10,Struktur Teks Deskripsi,Analitis,Guru2,Guru_Bahasa,8.75,8.25,8.25,9.25
L1_V10,Struktur Teks Deskripsi,Analitis,Guru3,Guru_Bahasa,8.25,8.75,7.75,9.75
L1_V10,Struktur Teks Deskripsi,Analitis,Guru4,Guru_Bahasa,8.00,8.50,8.00,9.50
L1_V10,Struktur Teks Deskripsi,Analitis,Guru5,Guru_Bahasa,8.50,8.00,7.50,9.00
L1_V10,Struktur Teks Deskripsi,Analitis,Guru6,Guru_Bahasa,8.75,8.25,8.25,9.25
L1_V10,Struktur Teks Deskripsi,Analitis,Guru7,Guru_Bahasa,8.25,8.75,7.75,9.75
L1_V10,Struktur Teks Deskripsi,Analitis,Guru8,Guru_Bahasa,8.00,8.50,8.00,9.50
L1_V10,Struktur Teks Deskripsi,Analitis,Guru9,Guru_Bahasa,8.50,8.00,7.50,9.00
L1_V10,Struktur Teks Deskripsi,Analitis,AI1,Ahli_AI,9.00,9.00,8.50,10.00
L1_V10,Struktur Teks Deskripsi,Analitis,AI2,Ahli_AI,8.75,8.75,8.75,9.75
L1_V10,Struktur Teks Deskripsi,Analitis,AI3,Ahli_AI,9.25,9.25,8.25,10.00
L1_V10,Struktur Teks Deskripsi,Analitis,AI4,Ahli_AI,8.50,8.75,8.50,9.75
L1_V10,Struktur Teks Deskripsi,Analitis,AI5,Ahli_AI,9.00,8.50,8.00,9.50
L1_V10,Struktur Teks Deskripsi,Analitis,AI6,Ahli_AI,8.75,9.00,8.75,10.00
L1_V10,Struktur Teks Deskripsi,Analitis,AI7,Ahli_AI,9.25,9.25,8.25,10.00
L1_V10,Struktur Teks Deskripsi,Analitis,AI8,Ahli_AI,8.50,8.75,8.50,9.75
L1_V10,Struktur Teks Deskripsi,Analitis,AI9,Ahli_AI,9.00,8.50,8.00,9.50
L1_V10,Struktur Teks Deskripsi,Analitis,AI10,Ahli_AI,8.75,9.00,8.75,10.00
L1_V10,Struktur Teks Deskripsi,Analitis,AI11,Ahli_AI,9.25,9.25,8.25,10.00
L1_V10,Struktur Teks Deskripsi,Analitis,AI12,Ahli_AI,8.50,8.75,8.50,9.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru1,Guru_Bahasa,7.50,8.50,6.50,7.00
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru2,Guru_Bahasa,7.75,8.25,6.75,7.25
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru3,Guru_Bahasa,7.25,8.75,6.25,6.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru4,Guru_Bahasa,7.00,8.50,6.50,7.00
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru5,Guru_Bahasa,7.50,8.00,6.00,6.50
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru6,Guru_Bahasa,7.75,8.25,6.75,7.25
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru7,Guru_Bahasa,7.25,8.75,6.25,6.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru8,Guru_Bahasa,7.00,8.50,6.50,7.00
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,Guru9,Guru_Bahasa,7.50,8.00,6.00,6.50
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI1,Ahli_AI,8.00,9.00,7.00,7.50
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI2,Ahli_AI,7.75,8.75,7.25,7.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI3,Ahli_AI,8.25,9.25,6.75,8.00
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI4,Ahli_AI,7.50,8.75,7.00,7.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI5,Ahli_AI,8.00,8.50,6.50,7.25
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI6,Ahli_AI,7.75,9.00,7.25,7.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI7,Ahli_AI,8.25,9.25,6.75,8.00
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI8,Ahli_AI,7.50,8.75,7.00,7.50
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI9,Ahli_AI,8.00,8.50,6.50,7.25
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI10,Ahli_AI,7.75,9.00,7.25,7.75
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI11,Ahli_AI,8.25,9.25,6.75,8.00
L1_V11,Kaidah Kebahasaan Teks Deskripsi,Teori,AI12,Ahli_AI,7.50,8.75,7.00,7.50
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru1,Guru_Bahasa,8.50,8.00,8.50,8.50
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru2,Guru_Bahasa,8.75,8.25,8.75,8.75
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru3,Guru_Bahasa,8.25,7.75,8.25,8.25
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru4,Guru_Bahasa,8.00,8.00,8.50,8.50
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru5,Guru_Bahasa,8.50,7.50,8.00,8.00
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru6,Guru_Bahasa,8.75,8.25,8.75,8.75
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru7,Guru_Bahasa,8.25,7.75,8.25,8.25
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru8,Guru_Bahasa,8.00,8.00,8.50,8.50
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,Guru9,Guru_Bahasa,8.50,7.50,8.00,8.00
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,AI1,Ahli_AI,9.00,8.50,9.00,9.00
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,AI2,Ahli_AI,8.75,8.75,8.75,8.75
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,AI3,Ahli_AI,9.25,8.25,9.25,9.25
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,AI4,Ahli_AI,8.50,8.75,8.75,8.75
L1_V12,Kaidah Kebahasaan Teks Deskripsi,Aplikasi,AI5,Ahli_AI,9.00,8.00,8.50,8.50
